Prednasejici;Nazev;Bio;Anotace;Url;YouTube
Roman Pichlik;Proč jsem přestal programovat a nelituji s podtitulem lead or follow;https://dagblog.cz/;Proč jsem nechtěl býti krouhačem, který si optimalizuje své kruhadlo a drátěné rukavice, když produkt stojí za starou bačkoru. K čemu kupy zelí, když si knedlo zelo vepřo nikdo nekoupí. Jsem příliš stár, abych dělal svojí stopadesátou třetí implementaci data access vrstvy. A že až se tu sejdeme za deset let, po programátorech toho věku (50) už neštěkne ani pes.;https://drive.google.com/file/d/0B77zOXbegofYamZsSjBwRTdyb0k/view?usp=sharing;https://youtu.be/JdQQS5DXfOA
Jan Novotný;Neuralink;https://blog.novoj.net;Co pro nás chystá Elon Musk se svým novým projektem Neuralink? Jaká je jeho motivace se společnostmi Tesla, SpaceX a další? Jak by mohla vypadat naše budoucnost se zařízeními od Neuralinku? To vše se dozvíte v mojí přednášce.;http://novoj.github.io/reveal.js/index.html;https://youtu.be/L2_wc_G3_Vo
Ladislav Prskavec;JAMStack;https://blog.prskavec.net/;Jistě zdáte LAMP stack. Víte, že současnou stoupající hvězdou je JAM stack? Vyzkoušejte si kombinaci Javascript, API, Markup na platformě Jekyll, Netlify, Hugo a budete nadšeni stejně jako mnoho ostatních.;https://blog.prskavec.net/blog/2017/10/jopenspace-2017-a-moje-p%C5%99edn%C3%A1%C5%A1ka-o-jamstacku/;
Anastázie Sedláková;Webové aplikace pro vizualizaci dat;http://www.sedlakovi.org/;Ukazka dvou frameworků: Shiny(R) a Dash (Python) pro rychlé vytvoření vizualizačních aplikací.;https://docs.google.com/presentation/d/1tA1QnIuVJ7X31jXywpjQdZ1HCzUlFxZmmBYQZfwLl-0/edit#slide=id.p;https://youtu.be/M0vcLjEMnhc
Alois Holub;Návštěva v Google, Facebook, Apple;https://twitter.com/aloicz;Diáčky z mé návštěvy v Silicon Valley.;https://docs.google.com/presentation/d/1vf7LZOTn9yzbBQ4tuMC_Y5tFK4jQION6cpGBeteSQ6I/edit?usp=sharing;
Jiří Fabián;Bionicking;http://www.jirifabian.net/wordpress/;Disruptivní přednáška v podání Filemona se nedá popsat slovy - ta se musí vidět na vlastní oči :);;https://youtu.be/QeSxb5iFlAA
Michal Těhník;6 weeks cycles;http://mictech.cz/;Zkušenosti se šestitýdenním vývojovým cyklem.;https://docs.google.com/presentation/d/1ZWNWdCjI-3LHHzG1ne8I1ZR3Hhl2hZO7pSaHNHiK_hU/edit;https://youtu.be/1zdk1lrAhYk
Lukáš Křečan;Theory of Constraints pro zelenáče;https://blog.krecan.net/;Na hipsterském startupu vyrábějícím knedlo-vepřo-zelo si ukážeme, že nemá být smysl lepším kráječem zelí, když knedlíkáří nestíhají. Aneb theory of constraints v praxi.;https://drive.google.com/file/d/0BxY-qaWoIbe5NlV3LUtsZEJua00/view?usp=sharing;https://youtu.be/YZMWfLmZ7eU
Ondra Nekola;Nad knihami;http://www.nekola.cz;Scala (Java 8, Java 9...) for the impatient, Haskell Programming from First Principles http://haskellbook.com/, Mastering Bitcoin, Proofs and Refutations, Anatém, Anihilace, Problém tří těles;;https://youtu.be/WzR3NKlLe1c
Petr Ferschmann;AWS lamda;https://www.dativery.com/cs/;Architektura startupu Dativery v AWS cloudu. Praktické využití lambda a serverless.;https://docs.google.com/presentation/d/1cApBr3-vNvWDu55cuJNbCoy8yk46NLRDGN-3lWeK9kU/edit?usp=sharing;
Michal Franc;Loxone - chytrý dům;https://twitter.com/michalfranc;Aneb inteligentní elektroinstalaci bych znovu nechtel VOL II. Myslel jsem si, že chytrý dům postavím lépe než Petr Ferschmann - pojďte si poslechnout, jak to dopadlo.;https://docs.google.com/presentation/d/e/2PACX-1vQOC9i8KESfq18vtyv7gqgGRoQ_kZpMrrIvKvKanEPxYSWqEkG3R6Mgyk3i4OsFtNjsxWqWEl3ER1og/pub?start=false&loop=false&delayms=3000;https://youtu.be/91x9P2PV3Fc
Vojtech Ruzicka;Detecting dependencies with known security vulnerabilities;http://vojtechruzicka.com/;Anotace: V dnešní době tvoří naprostou většinu aplikací frameworky a knihovny třetích stran. Tyto vnější závislosti často obsahují známé bezpečnostní zranitelnosti, které jsou poté opraveny v pozdějších verzích. Pojďme si ukázat, kde najít databáze takovýchto zranitelností a jak automaticky detekovat, že naše aplikace obsahuje zranitelný kód. Dále jak tuto detekci integrovat s build procesem aplikace, continuous integration nebo SonarQube statickou analýzou kódu.;https://docs.google.com/presentation/d/1FpBAB79MqEBww3lM7fpmUhup4KbA_yD3xYEQHEyrVXE/edit?usp=sharing;
Pavel Lahoda;User Management and Security;https://twitter.com/lahoda;Retrospektiva současných způsobů autentizace a jak by mohlo být lépe.;;https://youtu.be/w4oqIoK6W3c
Petr Juza;Hluboká práce;https://twitter.com/pjuza;Jak se snažím praktikovat hlubokou práci a co mi při tom pomáhá.;;
