"Prednasejici","Nazev","Bio","Anotace","Url","YouTube"
"Jan Voráček","🎤 Bun: Jak skriptovací jazyk ke skriptování přišel","https://www.linkedin.com/in/janvoracek/","<ul> <li>skriptováním je myšlena alternativa k Bashi</li> <li>use-case - při vytvoření PR aktualizovat issue description na GitHubu a vložit do ní MD fragment</li> <li>první verze byla v bashi, ale nakonec zmigrovali na Bun, který má řadu výhod:</li> <li>JavaScript/TypeScript runtime - skriptům rozumí celý tým</li> <li>1:1 kompatibilní s NodeJS</li> <li>rychle startuje a je i rychlý na vykonávání (oproti Node)</li> <li>zabudovaný package manager - tj. zjednoduší se vlastní spouštění skriptu</li> <li>součástí je i testovací framework - není nutné kvůli tomu zatahovat další komplexitu</li> </ul>","https://docs.google.com/presentation/d/1aGpJMSZ-KpfoSzpdfLAvvNwEFzDgKCe0nmvdIvn6bEs/edit?usp=sharing","https://youtu.be/Wty1wXVRTEU"
"Vladka Janu","🎤 Automatizace domacnosti a jak (ne)zacit","https://www.linkedin.com/in/vladka/","<ul> <li>Shelly Pro 3EM - nepřímé měření spotřeby (cívky na drátech)</li> <li>oběhové čerpadlo je dobrý kandidát na řízení chytristikou</li> <li>kvalitní wifi</li> <li>potřebujeme API, ne to ovládat přes apky</li> <li>Sonoff/ewelink  eWeLink API</li> <li>Home assistant, běží na Raspberry 4, napájena přes malou UPS</li> </ul>","http://bit.ly/3Fpwuy1","https://youtu.be/o7CCUPJzMGA"
"Ondřej Chaloupka","🎤 Web3","https://www.linkedin.com/in/ondrejchaloupka/",,"https://github.com/ochaloup/jopenspace2023-web3/raw/main/Web3_Unveiled.pdf","https://youtu.be/txZFu-81z90"
"Leoš Přikryl","🎤 jOOQ","https://www.linkedin.com/in/leosprikryl/","<ul> <li>ORM je Vietnam softwarového inženýrství (jednou ho snad přeložím pro Zdroják) <a href=""https://www.google.com/url?q=https://www.odbms.org/wp-content/uploads/2013/11/031.01-Neward-The-Vietnam-of-Computer-Science-June-2006.pdf&amp;sa=D&amp;source=editors&amp;ust=1697390153281006&amp;usg=AOvVaw3dDoyQconj7r4GA6wT_QsW"">https://www.odbms.org/wp-content/uploads/2013/11/031.01-Neward-The-Vietnam-of-Computer-Science-June-2006.pdf</a> </li> </ul>","https://commity.cz/presentations/jooq-jopenspace2023/","https://youtu.be/FtbvDvhhl04"
"Milan Lempera","🎤 Programmer's Brain","https://www.linkedin.com/in/milanlempera/","<ul> <li>kniha Felienne Hermans</li> <li>kognitivní zátěž – nelze mít v hlavě dost (=všechno)</li> <li>krátkodobá paměť rulezzz</li> <li>De Grootův šachový pokus – nesmyslné situace si profíci pamatujou stejně špatně jako amatéři</li> <li>ukládání do chunků (± 7)</li> <li>McKeithen’s experiment</li> <li>chunkování mohou zlepšovat design-patterny, pokud je čtenář zná</li> <li>beacons v kódu – naming, struktura, …</li> <li>špatných jmen se nikdy nezbavíš</li> <li>kód se špatně pojmenovanými proměnnými a názvy metod statisticky obsahuje více chyb</li> <li>konvence je třeba dodržovat kvůli jiným lidem (moje budoucí já je jiný člověk)</li> <li>pomůžeme nejen lidem, ale i nástrojům (AI)</li> </ul>","https://docs.google.com/presentation/d/1d-coSeCG6cyxJFJAlSXPmlxRLMrmpI9xV-nMTPCrM0M/edit?usp=sharing","https://youtu.be/QN4106uU81g"
"Jiří Pinkas","🎤 Quality Gates","https://www.linkedin.com/in/jirkapinkas/","<ul> <li>systém, který hlídá kvalitu kódu přes pravidlový systém</li> <li>quality gates zamezí builldu na úrovni CI pipeline, pokud kód nesplňuje požadovanou kvalitu kódu</li> <li>vhodné ho pustit i na prehistorických aplikacích (s vhodně nastavenými pravidly) - lepší něco než nic</li> <li>quality gate = nezbuildíš, dokud…</li> <li>sada pravidel alespoň na code coverage</li> </ul>",,"https://youtu.be/eTLGFG0BC6w"
"Miloš Havránek","🎤 Deep Java Library","https://www.linkedin.com/in/miloshavranek/","<ul> <li><a href=""https://www.google.com/url?q=https://djl.ai/&amp;sa=D&amp;source=editors&amp;ust=1697390153283231&amp;usg=AOvVaw0m4LW1uTVCWdOtSXpaQl4r"">https://djl.ai/</a></li> <li>používá Amazon / Netflix</li> <li>podporuje známé DL frameworky: Pytorch, Tensorflow (pozor tady jsou caveats), Apache MXNet</li> </ul>","https://docs.google.com/presentation/d/1u4DFlY3gvj6IrpY9elE0oqpZzxvaccPh_CVZmSaxDgA/edit?usp=sharing","https://youtu.be/hiFbl8V36pQ"
"Jaroslav Holaň","🎤 Github Next, Future of Copilot X","https://www.linkedin.com/in/jaroslavholan/","<ul> <li>githubnext.com = CoPilot for …</li> <li>v budoucnu pomůže s description u pull-requestů (dáme mu jen “šablonu”, jak by to mělo vypadat)</li> <li>/prbot how, /prbot suggest, /prbot describe - navrhne PR podle zadání, vysvětlí PR pro review</li> <li>paper.js - vizualizace codebase</li> </ul>","Jaroslav Holaň - Github Next","https://youtu.be/V5ntwpAoOnE"
"Martin Kouba","🎤 Quarkus pod kapotou","https://www.linkedin.com/in/martin-kouba/","<ul> <li>framework pro vývoj webových aplikací</li> <li>orientovaný na build time - vše se snaží vyřešit při kompilaci</li> <li>Jandex, žere bytecode a vytvoří index, který umožňuje reflexní analýzu kódu: <a href=""https://www.google.com/url?q=https://github.com/smallrye/jandex&amp;sa=D&amp;source=editors&amp;ust=1697390153284639&amp;usg=AOvVaw2ARaN-Q_OzpwatjPCXypXT"">https://github.com/smallrye/jandex</a> </li> <li>vytvořili Gizmo, což je nadstavba nad ASM: <a href=""https://www.google.com/url?q=https://github.com/quarkusio/gizmo&amp;sa=D&amp;source=editors&amp;ust=1697390153284908&amp;usg=AOvVaw0tcWsfRkR7UX0fR4EE7eXC"">https://github.com/quarkusio/gizmo</a> </li> <li>udržují mapování bytekód &lt;-&gt; test, který ho používá; když se změní bytekód, přetestují se ovlivněné testy</li> </ul>","https://docs.google.com/presentation/d/11KMxaHUmDdhF5kZbELwdi5nkhn7d4lfZatYIxCEArsU/edit?usp=sharing","https://youtu.be/5vn6ON5uLj8"
"Pavel Košťál","🎤 AWS pro developery, aneb jak na cloudu neutratit balík peněz","https://www.linkedin.com/in/pavel-kostal-5a76707b/","<ul> <li>on demand, kdykoliv možno vytvořit a zrušit</li> <li>spot, bez záruky - kdykoliv vám to mohou vypnout</li> <li>reserved - kupuje se na delší období dopředu, je tam veliká sleva</li> </ul> </li> <li>free tier možnosti <ul> <li>něco je vždy zdarma, něco jen první rok, případně zkušební verze, které jsou třeba jen na 1-3 měsíců použití</li> </ul> </li> <li>Cognito - služba na správu uživatelů</li> <li>Amplify - ovládání AWS přes cmd line</li> </ul>","https://docs.google.com/presentation/d/1blf2lIWmBci7YtlgCGkTLvGv5iewpVnY8pAc5gBKY3w/edit?usp=sharing","https://youtu.be/ZaxYYYohizk"
"Vladimír Oraný","🎤 Můj jarní výlet do Anglie","https://www.linkedin.com/in/vladimirorany/","<ul> <li>nikomu jinému nevěř ohledně nové práce, vždy se bav přímo s budoucím šéfem</li> <li>nepal mosty</li> <li>termín v HR “boomerang employee”</li> </ul>","https://docs.google.com/presentation/d/18hnLKJNXRQEXx1qbMtEBftVbkJ3iCt0ftNkqjHCoLEM/edit?usp=sharing","https://youtu.be/Xo7MQCv70ks"
"Ondřej Šika","🎤 VPN v roce 2023","https://www.linkedin.com/in/ondrejsika/","<ul> <li>Cloudflare access - pro 50 uživatelů zadarmo</li> <li>Cloudflare tunnel - démon na vaší infrastruktuře, přes který se routuje provoz</li> <li>alternativa: HashiCorp Boundary</li> <li>WireGuard moderní VPN (alternative OpenVPN), crossplatformní, multiplatformní</li> <li>Tailscale je nadstavba nad WireGuard, přidává použitelné UI (komerční a cloudové řešení) <ul> <li>3 uživatelé zdarma, 100 přístrojů</li> </ul> </li> <li>Headscale je opensource alternativa k Tailscale</li> </ul>",,"https://youtu.be/dojqUK1kjLo"
"Vilibald Wanča","🎤 smartphone bez Google/Apple - aktuální stav","https://www.linkedin.com/in/wvi/","<ul> <li>kdo nemá Linux jako Kernel - iOS jako jediný</li> <li>shrnutí statistik o telefonech</li> <li>existují mobily s OS založených na Linuxu (Ubuntu Touch, postmasterOS atp.)</li> <li>Librem 5 - HW s Pure OS</li> <li>Android bez Google? (AOSP=Android Open Source Project - nebrat) LineageOS, GrapheneOS (jen na Pixelech), /e/OS</li> <li>LineageOS je pokračování CyanogenMod</li> <li>microG je OS projekt, který imituje API Google a nahrazuje je vlastní implementací</li> <li>/e/OS - LineageOS + microG + Nextcloud a email</li> </ul>","https://w-vi.github.io/jospcz23/1","https://youtu.be/TE78Z3ACMZU"
"Tomucha","🎤 Máte vědomí? A mohla bych ho vidět?","https://www.linkedin.com/in/tomucha/","<ul> <li>kde je hranice, která dělí vědomé bytosti od nevědomých?</li> <li>má LLM vědomí?</li> <li>theory of mind <ul> <li>já mám vědomí a protože vy jste podobní jako já, tak usuzuji, že máte taky vědomí</li> <li>děti &gt;= 4 roky, zvířata</li> </ul> </li> <li>problém je, že LLM prochází (částí?) testů Theory of mind</li> <li>popis operace řešící epilepsii, kdy se přeruší corpus callosum a člověk žije se dvěma nezávislými polovinami mozku, které spolu nekomunikují <ul> <li>z některých testů se zdá, že po této operací existují ve hlavě 2 osobnosti</li> </ul> </li> <li>revize teorie - možná nakonec nikdo nemá vědomí 🙂</li> </ul><li>kde je hranice, která dělí vědomé bytosti od nevědomých?</li><li>má LLM vědomí?</li><li>theory of mind<ul><li>já mám vědomí a protože vy jste podobní jako já, tak usuzuji, že máte taky vědomí</li><li>děti &gt;= 4 roky, zvířata</li></ul></li><li>problém je, že LLM prochází (částí?) testů Theory of mind</li><li>popis operace řešící epilepsii, kdy se přeruší corpus callosum a člověk žije se dvěma nezávislými polovinami mozku, které spolu nekomunikují<ul><li>z některých testů se zdá, že po této operací existují ve hlavě 2 osobnosti</li></ul></li><li>revize teorie - možná nakonec nikdo nemá vědomí 🙂</li></ul>","https://docs.google.com/presentation/d/1dN24zFqRAo6vGBr5El6cDMUAoAFY5lbPHz8s-YaKK3I/edit?usp=sharing","https://youtu.be/LO_xFfUcD3Q"
"Daniel Crha","🎤 Integrace při vývoji all-flash array","https://www.linkedin.com/in/daniel-crha/","<ul> <li>Orchestrator = místo pushování každého commitu od více vývojářů zvlášť se pošlou tyto commity nejdřív do orchestratoru, ten otestuje najednou celou tuto sadu a když je to ok, pushne najednou (když ne, bisekcí najde příčinu a eskaluje)</li> </ul>","https://drive.google.com/file/d/1b_06CctZ47pWLOV6KbKeG3hfb8UruRgP/view?usp=sharing","https://youtu.be/NTtur3z01Bg"
"Michal Franc","🎤 NIA","https://www.linkedin.com/in/francmichal/","<ul> <li>OVM = orgán veřejné moci (využití zdarma není ve vlastním eshopu)</li> <li>pozor: eidentita.cz už není portál NIA (stát doménu pustil)</li> <li>funguje na bázi SAML protokolu</li> <li>celkem složitý registrační proces pro poskytovatele služby</li> </ul>","https://docs.google.com/presentation/d/1T9T29miRkS4tbVTJfHJo6lYALxsrDTSL2hqT6T3guIE/edit?usp=sharing","https://youtu.be/tkp4y5KKvuo"
"Alois Holub","🎤 (Don't) Panic!","https://www.linkedin.com/in/alois-holub-29bba5198/","<ul> <li>aplikace Transmit: synchronizace souborů</li> <li>aplikace Prompt2: připojování na vzdálené servery z mobilu</li> <li>aplikace Noda: IDE pouze pro MacOS</li> <li>vydali hru: Firewatch</li> <li>herní konzole: PlayDate - každý týden nová hra, e-ink display, kromě tlačítek (ne)praktická klička na ovládání her</li> <li>firma, která dělá věcí, které je baví; netradiční; focus na design</li> </ul>",,"https://youtu.be/LhMAJlxZJ1U"
"Ivo Musil","🎤 Co se můžeme naučit od ragby?","https://www.linkedin.com/in/ivosh/","<ul> <li>Pravidla ragby jsou povedený inspirující dokument i pro firmy.</li> </ul>","https://tinyurl.com/jos2023-ivoshm-ragby","https://youtu.be/s-aX97gc2fE"
"Lubomir Petera","🎤 Data Lakehouse","https://www.linkedin.com/in/lubomirus/","<ul> <li>spojení přístupů Data Warehouse a Data Lake -&gt; Data Lakehouse</li> <li>vyznačuje se schema on read</li> </ul>","jos2023.pptx","https://youtu.be/PSEO_ZEGkpw"
"Lukáš Vlček","🎤 Proč má Aiven OSPO (Open Source Program Office) a proč Vy byste měli taky.","https://www.linkedin.com/in/lukasvlcek/","<ul> <li>https://todogroup.org/</li> <li>open source program office = zaměstnanci placení společností na full time pracují pro open source projekt, na kterém firma staví svou budoucnost</li> <li><a href=""https://www.google.com/url?q=https://todogroup.org/&amp;sa=D&amp;source=editors&amp;ust=1697390153291997&amp;usg=AOvVaw0k5uytShiKl8O9VpriHZ-Q"">https://todogroup.org/</a></li> <li>5 stupňu vyspělosti práce s OSS <ul> <li>používáte OS software</li> <li>vzdělávání v oblasti OS software</li> <li>propagace OS, účast v ekosystému</li> <li>hostování projektů na své náklady</li> <li>stát se klíčovým přispěvatelem a spolurozhodovatelem o dalším rozvoji</li> </ul> </li> <li>přirovnání k modelu pojišťoven</li> </ul>","https://docs.google.com/presentation/d/1T1YMarfdWBtI6xOPr5OPZ9VkC0QNxpsZX6Q06Lvcn0U/edit?usp=sharing","https://youtu.be/S-Q1oPWAm7A"
"dond","🎤 Kompost","https://www.linkedin.com/in/dondrich/","<ul> <li>když budete dokompostu sypat logr z kafe, vaše žížaly vás budou milovat</li> <li>vše se v kompostu rozloží, i beton (CaO SiO2)</li> <li>dodat: celulózu, kyslík, teplo</li> <li>rozklad lidského těla v lidské kompostárně trvá měsíc (bez kostí)</li> <li>ročně zemře v ČR 130000 lidí</li> <li>legálně není možné nechat se v ČR po smrti zkompostovat</li> <li>“máme moderní technologie, středověký instituce a pravěký mozky”</li> <li>kosti se po zkompostování rozdrtí, odstraní se nerozložitelné zbytky (plomby) a pak “vyzvednete si milovanou manželku ve 20litrovým pytli”</li> </ul>","https://docs.google.com/presentation/d/1eBVJtTNPsrVwWQoEldsETehsyCA-47hbTF9brL2e3do/edit?usp=sharing","https://youtu.be/C2mba0qM3mU"
"Filip Štaffa","🎤 Coding Dojo","https://www.linkedin.com/in/filip-staffa/","<ul> <li>skupina lidí se sejde a snaží se zlepšit své programátorské dovednosti</li> <li>trénovat lze spoustu věcí, TDD, minimální implementace,...</li> <li>kata = paralela z karate - souboj nasucho</li> <li>příkladem může být String calculator: <a href=""https://www.google.com/url?q=https://codingdojo.org/kata/StringCalculator/&amp;sa=D&amp;source=editors&amp;ust=1697390153294230&amp;usg=AOvVaw3IWR4Jpy6dY_IJ7MJGp5QL"">https://codingdojo.org/kata/StringCalculator/</a> popř. <a href=""https://www.google.com/url?q=https://osherove.com/tdd-kata-1&amp;sa=D&amp;source=editors&amp;ust=1697390153294407&amp;usg=AOvVaw2ddT_4hENRi8Cd5N7-4P0X"">https://osherove.com/tdd-kata-1</a> </li> <li>pokud chcete katu vést <ul> <li>vyzkoušejte si ji jako účastník</li> <li>mějte plán, připravte si téma</li> <li>komunikujte co by se na daném problému chcete naučit</li> <li>vynucujte postup po minimálních iterativních krocích</li> </ul> </li> </ul>","https://docs.google.com/presentation/d/1ir4WWZjxLRpzewsjvNiO9fBP9v494OUNp7wyz0BJXVM/edit?usp=sharing","https://youtu.be/wR5_fq_2dWY"
"Filip Sedlák ","🎤 Jak fungují transakce v distribuované databázi","https://www.linkedin.com/in/filip-sedlak/","<ul> <li>používají Citus - rozšíření do PostgreSQL pro distribuovaný provoz</li> <li>koordinátor = další PG db, která ví o všech transakcích</li> <li>zvýšené riziko distribuovaných deadlocků</li> <li>nakonec používají v produkci v izolaci READ COMMITTED a na jejich use-case se zdá být dostatečně dobré</li> <li>v diskusi padl odkaz na <a href=""https://www.google.com/url?q=https://jepsen.io/&amp;sa=D&amp;source=editors&amp;ust=1697390153295696&amp;usg=AOvVaw2J7dilWSKD2gQXsKqdgpk0"">https://jepsen.io/</a> - analytiky, kteří se věnují prověřování právě distribuovaných systémů</li> </ul>","https://docs.google.com/presentation/d/1lkm3PkkqVr3LTHddpmX80jtfV9Pan1I1kWZF-gtZW0g/edit?usp=sharing","https://youtu.be/7Kk3E7vmpKY"
"Martin Talpa","🎤 Life 3.0 po 3 letech ","https://www.linkedin.com/in/martin-talpa-7378825/","<ul> <li>jsme téměř v polovině sci-fi příběhu, který Martin rozkreslil o ovládnutí světa ze strany AI v minulé přednášce</li> <li>narrow AI, code generation, vytváření filmů a psaní zpráv a ovlivňování veřejného mínění se dnes již s AI řeší</li> <li>co nás ještě čeká - bude sama designovat HW, podávat patenty, AGI, dojde k uvědomění umělé inteligence, založí si na to firmu, přes kterou bude financovat své aktivity, přes veřejné mínění provede změny celosvětově tak, aby to bylo v souladu s jejím i plány</li> </ul>","https://docs.google.com/presentation/d/1PdKxx1J96xb0Ji83MV0wxA-pfvoPRIoEBAEqKbXZunk/edit?usp=sharing","https://youtu.be/vrklFtmKihk"
